path,size,mtime,ext,drive
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-cosh.csv,62298,1757923961.945637,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arctan.csv,61734,1757923961.944637,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arctanh.csv,62768,1757923961.944637,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-cbrt.csv,62275,1757923961.944637,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arcsin.csv,62768,1757923961.943637,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arcsinh.csv,61718,1757923961.943637,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arccos.csv,62794,1757923961.9426372,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-arccosh.csv,62794,1757923961.9426372,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\random\tests\data\sfc64-testset-1.csv,24841,1757923961.8223212,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\random\tests\data\sfc64-testset-2.csv,24834,1757923961.8223212,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\random\tests\data\pcg64dxsm-testset-2.csv,24840,1757923961.821321,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\random\tests\data\philox-testset-1.csv,24853,1757923961.821321,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\random\tests\data\philox-testset-2.csv,24839,1757923961.821321,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\random\tests\data\pcg64-testset-1.csv,24840,1757923961.820321,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\random\tests\data\pcg64-testset-2.csv,24846,1757923961.820321,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\random\tests\data\pcg64dxsm-testset-1.csv,24834,1757923961.820321,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\random\tests\data\mt19937-testset-1.csv,16845,1757923961.8193212,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\random\tests\data\mt19937-testset-2.csv,16826,1757923961.8193212,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\Datas\서울시 지하철 호선별 역별 시간대별 승하차 인원 정보.csv,27868299,1757923683.5108097,.csv,C:\
C:\Users\Admin\AppData\Local\JetBrains\PyCharm2025.2\log\open-telemetry-metrics.2025-09-15-16-33-29.csv,132967,1757922019.256964,.csv,C:\
C:\Users\Admin\AppData\Local\JetBrains\PyCharm2025.2\log\open-telemetry-metrics.2025-09-15-16-09-22.csv,472134,1757921608.1234293,.csv,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\sklearn\datasets\data\linnerud_exercise.csv,233,1757921308.1813157,.csv,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\sklearn\datasets\data\linnerud_physiological.csv,240,1757921308.1813157,.csv,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\sklearn\datasets\data\wine_data.csv,11336,1757921308.1813157,.csv,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\sklearn\datasets\data\iris.csv,2885,1757921308.1803157,.csv,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\sklearn\datasets\data\breast_cancer.csv,120483,1757921308.179316,.csv,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\msft.csv,3211,1757920896.0120914,.csv,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\data_x_x2_x3.csv,132,1757920896.0070918,.csv,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\matplotlib\mpl-data\sample_data\Stocks.csv,67924,1757920896.0060914,.csv,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\matplotlib\mpl-data\images\zoom_to_rect.pdf,1609,1757920896.0030918,.pdf,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\matplotlib\mpl-data\images\subplots.pdf,1714,1757920896.0000916,.pdf,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\matplotlib\mpl-data\images\qt4_editor_options.pdf,1568,1757920895.9980915,.pdf,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\matplotlib\mpl-data\images\move.pdf,1867,1757920895.9970918,.pdf,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\matplotlib\mpl-data\images\matplotlib.pdf,22852,1757920895.9940915,.pdf,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\matplotlib\mpl-data\images\home.pdf,1737,1757920895.992092,.pdf,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\matplotlib\mpl-data\images\help.pdf,1813,1757920895.9900918,.pdf,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\matplotlib\mpl-data\images\hand.pdf,4172,1757920895.9880924,.pdf,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\matplotlib\mpl-data\images\forward.pdf,1630,1757920895.986092,.pdf,C:\
C:\Users\Admin\PycharmProjects\TestProject\.venv\Lib\site-packages\matplotlib\mpl-data\images\filesave.pdf,1734,1757920895.984092,.pdf,C:\
